T,G_HR,value
T0001,HR_DC,47.75889937136994
T0002,HR_DC,47.75889937136994
T0003,HR_DC,47.75889937136994
T0004,HR_DC,47.75889937136994
T0005,HR_DC,47.75889937136994
T0006,HR_DC,47.75889937136994
T0007,HR_DC,47.75889937136994
T0008,HR_DC,47.75889937136994
T0009,HR_DC,47.75889937136994
T0010,HR_DC,47.75889937136994
T0011,HR_DC,47.75889937136994
T0012,HR_DC,47.75889937136994
T0013,HR_DC,47.75889937136994
T0014,HR_DC,47.75889937136994
T0015,HR_DC,47.75889937136994
T0016,HR_DC,47.75889937136994
T0017,HR_DC,47.75889937136994
T0018,HR_DC,47.75889937136994
T0019,HR_DC,47.75889937136994
T0020,HR_DC,47.75889937136994
T0021,HR_DC,47.75889937136994
T0022,HR_DC,47.75889937136994
T0023,HR_DC,47.75889937136994
T0024,HR_DC,47.75889937136994
T0025,HR_DC,47.75889937136994
T0026,HR_DC,47.75889937136994
T0027,HR_DC,47.75889937136994
T0028,HR_DC,47.75889937136994
T0029,HR_DC,47.75889937136994
T0030,HR_DC,47.75889937136994
T0031,HR_DC,47.75889937136994
T0032,HR_DC,47.75889937136994
T0033,HR_DC,47.75889937136994
T0034,HR_DC,47.75889937136994
T0035,HR_DC,47.75889937136994
T0036,HR_DC,47.75889937136994
T0037,HR_DC,47.75889937136994
T0038,HR_DC,47.75889937136994
T0039,HR_DC,47.75889937136994
T0040,HR_DC,47.75889937136994
T0041,HR_DC,47.75889937136994
T0042,HR_DC,47.75889937136994
T0043,HR_DC,47.75889937136994
T0044,HR_DC,47.75889937136994
T0045,HR_DC,47.75889937136994
T0046,HR_DC,47.75889937136994
T0047,HR_DC,47.75889937136994
T0048,HR_DC,47.75889937136994
T0049,HR_DC,47.75889937136994
T0050,HR_DC,47.75889937136994
T0051,HR_DC,47.75889937136994
T0052,HR_DC,47.75889937136994
T0053,HR_DC,47.75889937136994
T0054,HR_DC,47.75889937136994
T0055,HR_DC,47.75889937136994
T0056,HR_DC,47.75889937136994
T0057,HR_DC,47.75889937136994
T0058,HR_DC,47.75889937136994
T0059,HR_DC,47.75889937136994
T0060,HR_DC,47.75889937136994
T0061,HR_DC,47.75889937136994
T0062,HR_DC,47.75889937136994
T0063,HR_DC,47.75889937136994
T0064,HR_DC,47.75889937136994
T0065,HR_DC,47.75889937136994
T0066,HR_DC,47.75889937136994
T0067,HR_DC,47.75889937136994
T0068,HR_DC,47.75889937136994
T0069,HR_DC,47.75889937136994
T0070,HR_DC,47.75889937136994
T0071,HR_DC,47.75889937136994
T0072,HR_DC,47.75889937136994
T0073,HR_DC,47.75889937136994
T0074,HR_DC,47.75889937136994
T0075,HR_DC,47.75889937136994
T0076,HR_DC,47.75889937136994
T0077,HR_DC,47.75889937136994
T0078,HR_DC,47.75889937136994
T0079,HR_DC,47.75889937136994
T0080,HR_DC,47.75889937136994
T0081,HR_DC,47.75889937136994
